iter	Passed	Remaining
0	150	29907
1	156	15448
2	161	10580
3	165	8127
4	169	6624
5	173	5618
6	177	4901
7	181	4350
8	184	3924
9	188	3589
10	193	3320
11	197	3086
12	200	2883
13	204	2715
14	208	2573
15	212	2446
16	216	2328
17	220	2233
18	224	2140
19	228	2057
20	232	1979
21	237	1925
22	242	1867
23	246	1810
24	250	1752
25	254	1703
26	258	1654
27	261	1606
28	264	1559
29	267	1518
30	271	1477
31	274	1440
32	277	1404
33	281	1375
34	286	1349
35	290	1323
36	294	1299
37	299	1276
38	303	1253
39	307	1229
40	311	1206
41	314	1182
42	317	1160
43	321	1140
44	326	1124
45	329	1103
46	333	1084
47	337	1067
48	340	1048
49	343	1031
50	346	1012
51	349	996
52	353	979
53	356	963
54	359	948
55	362	933
56	366	919
57	369	904
58	372	890
59	375	876
60	378	863
61	381	850
62	385	837
63	388	824
64	391	813
65	394	801
66	398	790
67	401	778
68	404	767
69	407	756
70	410	746
71	413	735
72	417	726
73	420	716
74	424	707
75	427	697
76	431	688
77	434	679
78	438	671
79	442	664
80	447	656
81	450	648
82	454	641
83	458	633
84	461	624
85	465	616
86	468	608
87	471	599
88	474	591
89	477	583
90	480	575
91	484	568
92	487	560
93	490	553
94	493	545
95	496	538
96	499	530
97	502	523
98	505	516
99	509	509
100	512	502
101	516	496
102	519	489
103	523	482
104	526	476
105	530	470
106	533	463
107	537	457
108	540	450
109	543	445
110	546	438
111	550	432
112	554	427
113	558	421
114	561	415
115	564	408
116	568	403
117	571	396
118	574	390
119	577	384
120	580	379
121	583	373
122	587	367
123	590	361
124	593	356
125	597	350
126	600	345
127	603	339
128	606	334
129	610	328
130	613	323
131	616	317
132	619	312
133	622	306
134	625	301
135	629	296
136	633	291
137	636	285
138	639	280
139	642	275
140	646	270
141	650	265
142	653	260
143	656	255
144	660	250
145	663	245
146	667	240
147	671	235
148	675	231
149	678	226
150	681	221
151	685	216
152	688	211
153	691	206
154	695	201
155	698	196
156	702	192
157	705	187
158	708	182
159	712	178
160	715	173
161	720	169
162	725	164
163	728	159
164	732	155
165	736	150
166	741	146
167	744	141
168	749	137
169	752	132
170	757	128
171	762	124
172	765	119
173	769	115
174	773	110
175	777	105
176	780	101
177	784	96
178	788	92
179	792	88
180	796	83
181	800	79
182	805	74
183	809	70
184	813	65
185	816	61
186	820	57
187	824	52
188	828	48
189	831	43
190	835	39
191	838	34
192	842	30
193	846	26
194	850	21
195	855	17
196	858	13
197	862	8
198	866	4
199	871	0
